Name;Имя
Age;Возраст
Family;Семья
Brother;Брат
Friend;Друг
Food;Еда
Water;Вода
Coffee;Кофе
Tea;Чай
Milk;Молоко
Bread;Хлеб
Fish;Рыба
Meat;Мясо
Fruit;Фрукты
Vegetables;Овощи
House;Дом
Room;Комната
Bathroom;Ванная комната
Bedroom;Спальня
Kitchen;Кухня
Car;Машина
Bus;Автобус
Train;Поезд
Plane;Самолет
Taxi;Такси
Hello!;Привет!
Goodbye;До свидания
Yes;Да
No;Нет
Please;Пожалуйста
Thank you;Спасибо
Excuse me;Извините
I’m sorry;Мне жаль
Good morning!;Доброе утро!
Good afternoon!;Добрый день!
Good evening!;Добрый вечер!
Good night!;Доброй ночи!
How are you?;Как вы?
I’m fine, thank you;Я в порядке, спасибо
What’s your name?;Как вас зовут?
My name is…;Меня зовут…
Nice to meet you;Рад с вами познакомиться
Thank you;Пожалуйста
You’re welcome;Не за что
Yes, please;Да, пожалуйста
No, thank you;Нет, спасибо
Excuse me;Извините
I’m sorry;Мне жаль
Goodbye;До свидания
See you later;Увидимся позже
Where are you from?;Откуда вы?
I’m from…;Я из…
What do you do?;Что вы делаете?
I’m a student;Я студент
How old are you?;Сколько вам лет?
I’m … years old;Мне … лет
What time is it?;Который час?
I don’t understand;Я не понимаю
Can you help me?;Вы можете мне помочь?
How much is this?;Сколько это стоит?
I want…;Я хочу…
I like it;Мне это нравится
I don’t like it;Мне это не нравится
Where is the bathroom?;Где туалет?
I’m lost;Я потерялся
Can you show me on the map?;Вы можете показать мне на карте?
I need help;Мне нужна помощь
I love you;Я тебя люблю
What is this?;Что это?
What’s the weather like today?;Какая сегодня погода?
Choose;Выбирать
Dance;Танцевать
Help;Помогать
Teach;Обучать
Work;Работать
Practise;Практиковать, тренироваться
Need;Нуждаться
Skip;Пропустить
Catch;Поймать
Sing;Петь
Go;Идти
Arrive;Прибывать
Change;Изменять(ся)
Prepare;Готовить(ся)
Steal;Воровать
Get married;Жениться
Fall;Падать
Earn;Зарабатывать
Agree;Соглашаться
Boil;Варить
Bring;Принести
I;Я
You;Ты, вы
He;Он
She;Она
It;Оно
We;Мы
They;Они
This;Это, этот, эта
That;Тот, та, то
These;Эти
Those;Вот эти
Adult;Взрослый
Cloudy;Облачный
Golden;Золотой
Horrible;Ужасный
National;Национальный
Pleased;Довольный
Careful;Осторожный
Comparative;Сравнительный
Ill;Больной
How are you doing?;Как вы поживаете?
Can I help you?;Чем я могу помочь?
I’m sorry, I don’t understand.;Мне жаль, я не понимаю.
Могли бы вы повторить это, пожалуйста?;Могли бы вы повторить это, пожалуйста?
What’s your favorite…?;Какой ваш любимый…?
Where do you work?;Где вы работаете?
What’s your email?;Какой ваш адрес электронной почты?
How was your weekend?;Как вы провели выходные?
What do you like to do in your free time?;Что вам нравится делать в свободное время?
I agree.;Я соглашаюсь.
I disagree.;Я не согласен.
Let’s meet at…;Встретимся в…
How much does it cost?;Сколько это стоит?
Can I have the bill, please?;Можно счёт, пожалуйста?
I’d like to order…;Я бы хотел заказать…
I have a question.;У меня есть вопрос.
Where is the nearest…?;Где ближайший…?
I’m looking for…;Ищу….
Can you help me find my way?;Вы можете помочь мне найти дорогу?
I don’t feel well.;Я чувствую себя плохо.
Can you recommend a good restaurant?;Вы можете посоветовать хороший ресторан?
What’s your phone number?;Какой ваш номер телефона?
And;И
But;Но
Or;Или
So;Так что, следовательно
Because;Потому что
For;Для
After;После