Challenge;Вызов
Decision;Решение
Knowledge;Знание
Leadership;Лидерство
Opportunity;Возможность
Quality;Качество
Solution;Решение
Value;Значение, ценность
Communication;Коммуникация, связь
Development;Развитие
Education;Образование
Experience;Опыт
Government;Правительство
Language;Язык
Relationship;Отношения
Success;Успех
Technology;Технология
Demure;Скромный
Dedication;Преданность
Brood;Выводок
Charity;Благотворительность
Employee;Работник
Favour;Услуга
Questionnaire;Анкета
Sunshine;Солнечный свет
Meadow;Луг
Society;Общество
Ameliorate;Улучшить
Denouement;Развязка
Motivation;Мотивация, энтузиазм
Adversity;Несчастья
Understanding;Понимание, сочувствие, сострадание
Apathy;Апатия, безразличие
Influence;Влияние
Consequence;Последствия
Claim;Иск
Guts;Мужество, выдержка
Failure;Неудача
Hell;Ад
Freedom;Свобода
Responsibility;Ответственность
Rehearsal;Репетиция
Appease;Успокаивать
Brazen;Бесстыжий
Candor;Искренность
Chide;Упрекать
Circumspect;Осмотрительный
Clandestine;Тайный
Debacle;Провал, фиаско
Decry;Осуждать
Deride;Высмеивать
Feral;Дикий, неприрученный
Forsake;Оставлять, бросать
Remedy;Средство
Impudent;Наглый
Indolent;Ленивый
Lithe;Гибкий
Reveal;Раскрыть
Nadir;Самый низкий уровень
Obtuse;Тупой
Umbrage;Обида, возмущение
Wanton;Беспричинный
Accurate;Точный
Acceptable;Приемлемый
Amazed;Удивленный
Intermediate;Промежуточный
Local;Местный
Patient;Терпеливый
Alike;Одинаковый
Basic;Основной
Brave;Храбрый
Relinquish;Сдаться, отказываться
Reside;Проживать
Simulate;Моделировать, имитировать
Acquire;Получать
Alleviate;Облегчить
Assess;Оценивать, анализировать
Discern;Различать
Endure;Выдерживать, терпеть
Hesitate;Сомневаться, колебаться
Inhibit;Мешать, сдерживать
Inquire;Спрашивать, интересоваться
Justify;Оправдывать, обосновывать
Maintain;Поддерживать, сохранять
Apologize;Просить прощения
Celebrate;Праздновать
Mend;Чинить, латать
Invent;Придумывать, изобретать
Guide;Направлять, вести
Remain;Оставаться
Breathe;Дышать
Charge;Заряжать
Excuse;Извиняться(ся)
Inaccurate;Неточный
Intricate;Замысловатый, сложный
Remarkable;Удивительный, Великолепный
Abundant;Обильный, щедрый
Apprehensive;Обеспокоенный
Astonished;Удивленный
Initial;Начальный
Mysterious;Таинственный