To abolish;[əˈbɒlɪʃ];Отменять, уничтожать, упразднять
To approve;[əˈpruːv];Утвердить, одобрить
To boast;[bəʊst];Гордиться, хвастаться
To contribute;[kənˈtrɪbju(ː)t];Жертвовать, вносить свой вклад
To deliver;[dɪˈlɪvə];Доставлять, поставлять, приносить
To descend;[dɪˈsɛnd];Спуститься, сходить, снизойти
To concentrate;[ˈkɒnsəntreɪt];Сосредотачиваться
To distract;[dɪsˈtrækt];Отвлечь, отвлекать
To torture;[ˈtɔːʧə];Мучить, терзать
To confuse;[kənˈfjuːz];Путать, запутать, сбить с толку
To abandon;[əˈbændən];Покинуть, бросить, оставить
To escape;[ɪsˈkeɪp];Совершить побег, убежать, сбежать
To distribute;[dɪsˈtrɪbju(ː)t];Распространять, распределить
To elaborate;[ɪˈlæbərɪt];Разрабатывать, прорабатывать
To construct;[kənˈstrʌkt];Строить, построить
To humiliate;[hju(ː)ˈmɪlɪeɪt];Унижать
To maintain;[meɪnˈteɪn];Поддерживать
To squeeze;[skwiːz];Сжимать, выжимать, сжать
To delegate;[ˈdɛlɪgɪt];Делегировать, посылать
To transfer;[ˈtrænsfə(ː)];Передавать, перечислять
To employ;[ɪmˈplɔɪ];Нанимать, использовать, работать
To catch;[kæʧ];Поймать, ловить
To commit;[kəˈmɪt];Совершить, зафиксировать, поручить
To arrange;[əˈreɪnʤ];Организовать, устроить
To implement;[ˈɪmplɪmənt];Внедрить, реализовать, осуществить
To insulate;[ˈɪnsjʊleɪt];Ограждать
To encourage;[ɪnˈkʌrɪʤ];Стимулировать
To foster;[ˈfɒstə];Поощрять
To boost;[buːst];Повышать
To optimize;[ˈɒptɪmaɪz];Оптимизировать
To rank;[ræŋk];Ранжировать
To identify;[aɪˈdɛntɪfaɪ];Определить, идентифицировать
To empower;[ɪmˈpaʊə];Наделить полномочиями, расширять
To ensure;[ɪnˈʃʊə];Обеспечить, убедить, гарантировать
To accomplish;[əˈkɒmplɪʃ];Выполнить, завершить, осуществить
To customize;[ˈkʌstəˌmaɪz];Настроить, сделать
To localize;[ˈləʊkəlaɪz];Локализовать, определить
To tailor;[ˈteɪlə];Приспособить
To validate;[ˈvælɪdeɪt];Удостоверять
To reserve;[rɪˈzɜːv];Резервировать
To estimate;[ˈɛstɪmɪt];Оценивать
To consulate;[ˈkɒnsjʊlɪt];Консультировать
To regard;[rɪˈgɑːd];Рассматривать, учитывать, относиться
To indicate;[ˈɪndɪkeɪt];Указывать, обозначать, показывать
To unify;[juːnɪfaɪ];Объединять
To digitalize;[ˈdɪdʒɪtəlaɪz];Оцифровать, перевести в online-формат
To expose;[ɪksˈpəʊz];Подвергать
To idealize;[ aɪˈdɪəlaɪz];Идеализировать
To navigate;[ˈnævɪgeɪt];Ориентироваться
To sustain;[səsˈteɪn];Выдерживать
To constrain;[kənˈstreɪn];Сдерживать
To evade;[ɪˈveɪd];Обойти
To purchase;[ˈpɜːʧəs];Приобретать
To earn;[ɜːn];Зарабатывать
To make sure;[meɪk ʃʊə];Убедиться
To prototype;[ˈprəʊtəʊtaɪp];Создать протопит, план
To endeavour;[ɪnˈdɛvə];Стремиться
To blend;[blɛnd];Смешивать
To prioritize;[praɪˈɒrɪˌtaɪz];Расставить приоритеты
To mitigate;[ˈmɪtɪgeɪt];Смягчать, принимать
To emphasize;[ˈɛmfəsaɪz];Подчеркнуть, придать акцент
To observe;[əbˈzɜːv];Наблюдать, замечать
To evolve;[ ɪˈvɒlv];Развиваться, расти, проявляться
To incentivize;[ɪnˈsen.tɪ.vaɪz];Стимулировать, побуждать
To respond;[rɪsˈpɒnd];Реагировать, отвечать
To connect;[kəˈnɛkt];Соединить
To command;[kəˈmɑːnd];Командовать
To check-out;[ʧɛk-aʊt];Проверить, оформить
To extend;[ɪksˈtɛnd];Продлить, расширить, увеличить
To retain;[rɪˈteɪn];Оставить, удержать, сохранить
To exhibit;[ɪgˈzɪbɪt];Показывать
To invent;[ɪnˈvɛnt];Изобретать
To abridge;[əˈbrɪʤ];Ограничивать
To self-express;[sɛlf-ɪksˈprɛs];Самовыражаться
To neglect;[nɪˈglɛkt];Пренебрегать
To negotiate;[nɪˈgəʊʃɪeɪt];Договариваться, вести переговоры
To upgrade;[ʌpˈgreɪd];Повышать, улучшать
To renew;[rɪˈnjuː];Обновить
To specialize;[ˈspɛʃəlaɪz];Специализироваться
To balance;[ˈbæləns];Уравновешивать
To absorb;[əbˈsɔːb];Поглощать
To overwhelm;[əʊvəˈwɛlm];Переполнять
To align;[əˈlaɪn];Выравнивать
To withdraw;[wɪðˈdrɔː];Отстраниться
To whistle;[ˈwɪsl];Свистеть
To suspect;[ˈsʌspɛkt];Подозревать
To surrender;[səˈrɛndə];Сдаваться
To depend on;[dɪˈpɛnd ɒn];Зависеть от
To correct;[kəˈrɛkt];Исправлять
To define;[dɪˈfaɪn];Определить
To visualize;[ˈvɪzjʊəlaɪz];Визуализировать
To design;[dɪˈzaɪn];Проектировать
To minimize;[ˈmɪnɪmaɪz];Минимизировать
To disturb;[dɪsˈtɜːb];Нарушить, беспокоить
To integrate;[ˈɪntɪgreɪt];Интегрировать
To exchange;[ɪksˈʧeɪnʤ];Обменивать, менять
To organize;[ˈɔːgənaɪz];Организовать
To collaborate;[kəˈlæbəreɪt];Сотрудничать
To embed;[ɪmˈbɛd];Встраивать
To generate;[ˈʤɛnəreɪt];Генерировать
addiction;[əˈdɪkʃ(ə)n];Зависимость, пристрастие
amateur;[ˈæmətə(ː)];Любитель
ambivalence;[æmˈbɪvələns];Нерешительность
commission;[kəˈmɪʃən];Комиссия, поручение, заказчик
confidence;[ˈkɒnfɪdəns];Доверие, уверенность, достоверность
craving;[ˈkreɪvɪŋ];Желание, тяга, стремление, жажда
district;[ˈdɪstrɪkt];Район
evidence;[ˈɛvɪdəns];Доказательство, признак, факт
honesty;[ˈɒnɪsti];Честность
circumstance;[ˈsɜːkəmstəns];Обстоятельство, случай, событие
kindness;[ˈkaɪndnɪs];Доброта
justice;[ˈʤʌstɪs];Справедливость
disgust;[dɪsˈgʌst];Отвращение, брезгливость
А suggestion;[səˈʤɛsʧən];Предложение, суждение, идея
А nobility;[nəʊˈbɪlɪti];Благородство, достоинство
commotion;[kəˈməʊʃən];Суета
adherence;[ədˈhɪərəns];Приверженность
devotion;[dɪˈvəʊʃən];Преданность
enticement;[ ɪnˈtaɪsmənt];Приманка, соблазн, заманивание
attractiveness;[ əˈtræktɪvnəs];Привлекательность
freedom-loving;[ˈfriːdəm-ˈlʌvɪŋ];Свободолюбие
rebel;[ˈrɛbl];Бунтарь
influence;[ ˈɪnflʊəns];Влияние
sway;[sweɪ];Колебание
willpower;[ˈwɪlˌpaʊə];Сила воли
inequality;[ˌɪni(ː)ˈkwɒlɪti];Неравенство
А violence;[ˈvaɪələns];Насилие, жестокость
А bullying;[ˈbʊliɪŋ];Издевательство, травля
А godliness;[ˈgɒdlɪnɪs];Благочестие, бодрость
А compassion;[kəmˈpæʃən];Сострадание
inclusivity;[ɪnˌkluːˈsɪvətɪ];Инклюзивность
А reciprocity;[rɛsɪˈprɒsɪti];Взаимность, обоюдность
friskiness;[ˈfrɪskɪnəs];Игривость, раскованность, живость
fervor;[ˈfɜːvə];Пылкость, задор, рвение
А youth;[juːθ];Молодежь, юноша, молодость
adolescence;[ædəʊˈlɛsns];Подростковый возраст, отрочество
А prerequisite;[ˌpriːˈrɛkwɪzɪt];Предпосылка, условие
fortune;[ˈfɔːʧən];Судьба, удача, желание, успех
А Stubbornness;[ˈstʌbənnɪs];Упрямость
disappointment;[dɪsəˈpɔɪntmənt];Разочарование
distancing;[ˈdɪstənsɪŋ];Дистанцирование
isolation;[ˌaɪsəʊˈleɪʃən];Изоляция
self-care;[sɛlf-keə];Забота о себе
medication;[ˌmɛdɪˈkeɪʃən];Лекарство
celebration;[ˌsɛlɪˈbreɪʃən];Мероприятие
physician;[fɪˈzɪʃən];Врач, доктор, терапевт
treatment;[ˈtriːtmənt];Лечение
improvement;[ɪmˈpruːvmənt];Улучшение
symptom;[ˈsɪmptəm];Симптом
dismay;[dɪsˈmeɪ];Огорчение
cancellation;[ˌkænsəˈleɪʃən];Отмена
suspiciousness;[səsˈpɪʃəsnəs];Подозрительность
escalation;[ˌɛskəˈleɪʃən];Обострение, эскалация
proceeding;[prəˈsiːdɪŋ];Разбирательство
awareness;[əˈweənəs];Осознание
responsibility;[rɪsˌpɒnsəˈbɪlɪti];Ответственность
aftermath;[ˈɑːftəmæθ];Последствие
weakness;[ˈwiːknɪs];Слабость
rivalry;[raɪvəlri];Соперничество, противостояние
restlessness;[ˈrɛstlɪsnɪs];Беспокойство
uncertainty;[ʌnˈsɜːtnti];Неуверенность, неопределенность
stress resistance;[strɛs rɪˈzɪstəns];Стрессоустойчивость
conscience;[kɒnʃəns];Совесть
А mindfulness;[ˈmaɪndfʊlnəs];Внимательность, мышление, осознанность
protection;[prəˈtɛkʃən];Защита, протекция
referral;[rɪˈfɜrəl];Направление
hopelessness;[ˈhəʊplɪsnɪs];Безнадежность
reliability;[rɪˌlaɪəˈbɪlɪti];Надежность
verification;[ˌvɛrɪfɪˈkeɪʃən];Проверка
self-isolation;[sɛlf-ˌaɪsəʊˈleɪʃən];Самоизоляция
А provocation;[prɒvəˈkeɪʃən];Провокация
prevention;[prɪˈvɛnʃən];Профилактика
side effect;[saɪd ɪˈfɛkt];Побочный эффект
vaccination;[ˌvæksɪˈneɪʃən];Вакцинация
immunization;[ ɪˌmju(ː)naɪˈzeɪʃən];Иммунизация
contradiction;[ˌkɒntrəˈdɪkʃən];Противоречие
emotion;[ ɪˈməʊʃən];Эмоция
disagreement;[ˌdɪsəˈgriːmənt];Разногласие
misunderstanding;[ ˌmɪsʌndəˈstændɪŋ];Недоразумение, недопонимание
negotiation;[nɪˌgəʊʃɪˈeɪʃən];Переговоры
downfall;[ˈdaʊnfɔːl];Падение, упадок, крах, понижение
А setback;[ˈsɛtbæk];Неудача, провал
А bad luck;[bæd lʌk];Невезение, несчастье
depression;[dɪˈprɛʃən];Депрессия
А solitude;[ˈsɒlɪtjuːd];Одиночество
А self-blame;[sɛlf-bleɪm];Самобичевание
А disorder;[dɪsˈɔːdə];Расстройство, разлад
А instability;[ɪnstəˈbɪlɪti];Нестабильность
А challenge;[ˈʧælɪnʤ];Вызов, сложность
А sustainability;[səsˌteɪnəˈbɪlɪti];Устойчивость, жизнеспособность
duration;[djʊəˈreɪʃən];Продолжительность
А luckiness;[ˈlʌkɪnəs];Удачливость, везение
А fluke;[fluːk];Случайность, шанс
А winning;[ˈwɪnɪŋ];Выигрыш, победа, завоевание
lottery;[ˈlɒtəri];Лотерея
destination;[ˌdɛstɪˈneɪʃən];Предназначение
advantage;[ədˈvɑːntɪʤ];Преимущество
win-win;[wɪn-wɪn];Победа, выигрыш
condition;[kənˈdɪʃən];Условие, обстоятельство, состояние
contest;[ˈkɒntɛst];Соревнование, борьба, конкурс
А humbleness;[ˈhʌmblnəs];Смирение, скромность, покорность
А fearlessness;[ˈfɪəlɪsnəs];Бесстрашие
А hardening;[ˈhɑːdnɪŋ];Закалка, твердость
А buoyancy;[ˈbɔɪənsi];Оживленность, жизнелюбие
А cheerfulness;[ˈʧɪəfʊlnəs];Жизнерадостность, веселость
А hospitality;[hɒspɪˈtælɪti];Гостеприимство, радушие
А pessimism;[ˈpɛsɪmɪzm];Пессимизм
А morale;[mɒˈrɑːl];Мораль, дух, нрав, мужество
А wisdom;[ˈwɪzdəm];Мудрость
А proficiency;[prəˈfɪʃənsi];Мастерство, умение, квалификация
applicant;[ˈæplɪkənt];Претендент, соискать, заявитель
А decisiveness;[dɪˈsaɪsɪvnəs];Решительность
А loophole;[ˈluːphəʊl];Лазейка, дыра
А frustration;[frʌsˈtreɪ.ʃən];Фрустрация, разочарование
А knowledge;[ˈnɒlɪʤ];Знание, познание
А decision-making;[dɪˈsɪʒən-ˈmeɪkɪŋ];Принятие решения
alacrity;[əˈlækrɪti];Аккуратность, активность, стремительность
extremity;[ɪksˈtrɛmɪti];Крайность, упорство, чрезмерность
А background;[ˈbækgraʊnd];Фон, предпосылка
А preparatory;[prɪˈpærətəri];Подготовка
Arrogant;[ˈærəʊgənt];Высокомерный, заносчивый
Civilian;[səˈvɪljən];Гражданский
Commercial;[kəˈmɜːʃəl];Коммерческий
Convenient;[kənˈviːniənt];Удобный
Creative;[kri(ː)ˈeɪtɪv];Креативный, творческий
Naughty;[ˈnɔːti];Озорной, шаловливый
Stationary;[ˈsteɪʃnəri];Стационарный
Valuable;[ˈvæljʊəbl];Ценный
Significant;[sɪgˈnɪfɪkənt];Значительный, существенный
Foremost;[ˈfɔːməʊst];Передовой, основной, главный
Recent;[ˈriːsnt];Недавний
Updated;[ʌpˈdeɪtɪd];Обновленный
Operational;[ˌɒpəˈreɪʃənl];Оперативный, рабочий, действующий
Intuitive;[ɪnˈtju(ː)ɪtɪv];Интуитивно понятный, интуитивный
Essential;[ɪˈsɛnʃəl];Существенный, важный
Numerous;[ˈnjuːmərəs];Многочисленный
Compliant;[kəmˈplaɪənt];Соответствующий
Straightforward;[streɪtˈfɔːwəd];Прямой, прямолинейный
Understandable;[ʌndəˈstændəbl];Понятный, доступный
Uncompromising;[ʌnˈkɒmprəmaɪzɪŋ];Беспрекословный
Distinguished;[dɪsˈtɪŋgwɪʃt];Выдающийся, уважаемый, отличительный
Separate;[ˈsɛprɪt];Отдельный
Outstanding;[aʊtˈstændɪŋ];Незаурядный
Principal;[ˈprɪnsəpəl];Принципиальный, главный
Leading;[ˈliːdɪŋ];Ведущий, лидирующий
Cognitive;[ˈkɒgnɪtɪv];Когнитивный, познавательный
Cutting-edge;[kʌtɪŋ-ɛʤ];Современный, новейший
Precise;[prɪˈsaɪs];Точный, четкий
Unmatched;[ʌnˈmæʧt];Неповторимый, непревзойденный
Reasonable;[ˈriːznəbl];Разумный, целесообразный
Fundamental;[ˌfʌndəˈmɛntl];Основополагающий
Brilliant;[ˈbrɪljənt];Блестящий, гениальный
Inflexible;[ɪnˈflɛksəbl];Несгибаемый, непогрешимый
Crucial;[ɪnˈflɛksəbl];Решающий, критический, важный
Contemporary;[kənˈtɛmpərəri];Современный, актуальный
Duplicated;[ˈdjuːplɪkeɪtɪd];Дублированный
Tedious;[ˈtiːdiəs];Утомительный, кропотливый, надоедливый
Multiple;[ˈmʌltɪpl];Множественный, многочисленный
Individual;[ɪndɪˈvɪdjʊəl];Личный, индивидуальный
Fitting;[ˈfɪtɪŋ];Подходящий
Monotonous;[məˈnɒtnəs];Монотонный, однообразный
Ruthless;[ˈruːθlɪs];Бесчеловечный
Multi-channel;[ˈmʌltɪ-ˈʧænl];Многоканальный
Astonishing;[əsˈtɒnɪʃɪŋ];Удивительный, изумительный
Ambitious;[æmˈbɪʃəs];Амбициозный, честолюбивый
Captivating;[ˈkæptɪveɪtɪŋ];Захватывающий, завораживающий
Profound;[prəˈfaʊnd];Глубокомысленный
Qualified;[ˈkwɒlɪfaɪd];Квалифицированный
Remarkable;[rɪˈmɑːkəbl];Замечательный, примечательный, выдающийся
Additional;[əˈdɪʃənl];Дополнительный
Burning;[ˈbɜːnɪŋ];Горящий, жгучий
Unassuming;[ˌʌnəˈsjuːmɪŋ];Непритязательный
Meaningful;[ˈmiːnɪŋfʊl];Значимый, осмысленный
Private;[ˈpraɪvɪt];Личный, частный
Careful;[ˈkeəfʊl];Бережный, осторожный
Obscure;[əbˈskjʊə];Наблюдательный, непонятный
Accomplished;[əˈkɒmplɪʃt];Состоятельный, успешный, достигнутый
Ridiculous;[rɪˈdɪkjʊləs];Нелепый, смешной
Contemptuous;[kənˈtɛmptjʊəs];Презрительный
Fashionable;[ˈfæʃnəbl];Модный
Invariably;[ɪnˈveərɪəbli];Неизменно
Intermittently;[ɪntə(ː)ˈmɪtəntli];Иногда
Infrequently;[ɪntə(ː)ˈmɪtəntli];Редко
Predominantly;[prɪˈdɒmɪnəntli];Постоянно
Elsewhere;[ˈɛlsˈweə];Где-нибудь
Scarcely;[ ˈskeəsli];Едва
Otherwise;[ˈʌðəwaɪz];Иначе
Quickly;[ˈkwɪkli];Быстро
Quietly;[ˈkwaɪətli];Спокойно, тихо
Moreover;[mɔːˈrəʊvə];Более того
Nevertheless;[ˌnɛvəðəˈlɛs];Тем не менее
Somewhat;[ˈsʌmwɒt];До некоторой степени
Cheerfully;[ˈʧɪəfʊli];Весело
Clumsily;[klʌmzɪli];Неуклюже
In vain;[ɪn veɪn];Напрасно
At once;[æt wʌns];Немедленно
Casually;[ˈkæʒjʊəli];Случайно
Since that;[sɪns ðæt];С тех пор
By all means;[baɪ ɔːl miːnz];Во что бы то ни стало
Readily;[ˈrɛdɪli];Охотно
Outside;[ˌaʊtˈsaɪd];Снаружи
Besides;[bɪˈsaɪdz];Кроме того
Once;[wʌns];Однажды
However;[haʊˈɛvə];Однако, как бы ни
Yet;[jɛt];Еще, до сих пор
Foolishly;[ˈfuːlɪʃli];Глупо, по глупости
Clearly;[ˈklɪəli];Очевидно
Actually;[ˈækʧʊəli];В общем, вообще-то
Completely;[kəmˈpliːtli];Совершенно, абсолютно
Extremely;[ɪksˈtriːmli];Безумно
Nearby;[ˈnɪəbaɪ];Рядом, неподалеку
Unmistakable;[ʌnmɪsˈteɪkəbl];Безошибочно
Accurately;[ˈækjʊrɪtli];Точно
Definitely;[ˈdɛfɪnɪtli];Абсолютно
Relentlessly;[rɪˈlɛntlɪsli];Безостановочно
Incredibly;[ɪnˈkrɛdəbli];Невероятно, очень, неимоверно
Decidedly;[dɪˈsaɪdɪdli];Решительно
Firmly;[ˈfɜːmli];Уверенно
Carelessly;[ˈkeəlɪsli];Беспечно
Nevertheless;[nɛvəðəˈlɛs];Тем не менее